T5_lag60,hour_of_day_cos,T6,T14,T13,T1_lag30,L,T1_lag60,T5_lag1,T5_lag5,T1_lag240,T4_lag30,T4_lag60,T4,T4_lag5,T4_lag240,T4_lag10,T1_lag5,B,T4_lag1,T5_lag30,T1_lag10,T5_lag240,T5_lag10,D,F,T7,hour_of_day_sin,T5,T1
350.99,1.0,351.06,362.92,354.75,350.82,780.0,350.82,350.99,350.99,350.89,350.94,350.94,350.94,350.94,351.08,350.94,350.82,340,350.94,350.99,350.82,351.16,350.99,260,600,351.14,0.0,350.99,350.82
350.99,0.9996573249755573,351.06,362.92,354.75,350.82,780.0,350.82,350.99,350.99,350.86,350.94,350.94,350.94,350.94,351.02,350.94,350.82,340,350.94,350.99,350.82,351.09,350.99,260,600,351.14,0.02617694830787352,350.99,350.82
350.99,0.9986295347545738,351.06,362.92,354.75,350.82,780.0,350.82,350.99,350.99,350.85,350.94,350.94,350.94,350.94,350.99,350.94,350.82,340,350.94,350.99,350.82,351.05,350.99,260,600,351.14,0.05233595624294457,350.99,350.82
350.99,0.996917333733128,351.06,362.92,354.75,350.82,780.0,350.82,350.99,350.99,350.84,350.94,350.94,350.94,350.94,350.97,350.94,350.82,340,350.94,350.99,350.82,351.03,350.99,260,600,351.14,0.07845909572784512,350.99,350.82
350.99,0.9945218953682733,351.06,362.92,354.75,350.82,780.0,350.82,350.99,350.99,350.83,350.94,350.94,350.94,350.94,350.96,350.94,350.82,340,350.94,350.99,350.82,351.02,350.99,260,600,351.14,0.10452846326765401,350.99,350.82
350.99,0.9914448613738104,351.06,362.92,354.75,350.82,780.0,350.82,350.99,350.99,350.83,350.94,350.94,350.94,350.94,350.95,350.94,350.82,340,350.94,350.99,350.82,351.01,350.99,260,600,351.14,0.13052619222005157,350.99,350.82
350.99,0.9876883405951377,351.06,362.92,354.75,350.82,780.0,350.82,350.99,350.99,350.83,350.94,350.94,350.94,350.94,350.95,350.94,350.82,340,350.94,350.99,350.82,351.01,350.99,260,600,351.14,0.15643446504023123,350.99,350.82
350.99,0.9832549075639545,351.06,362.92,354.75,350.82,780.0,350.82,350.99,350.99,350.83,350.94,350.94,350.94,350.94,350.95,350.94,350.82,340,350.94,350.99,350.82,351.0,350.99,260,600,351.14,0.18223552549214816,350.99,350.82
350.99,0.9781476007338056,351.06,362.92,354.75,350.82,780.0,350.82,350.99,350.99,350.82,350.94,350.94,350.94,350.94,350.94,350.94,350.82,340,350.94,350.99,350.82,351.0,350.99,260,600,351.14,0.2079116908177595,350.99,350.82
350.99,0.9723699203976764,351.06,362.92,354.75,350.82,780.0,350.82,350.99,350.99,350.82,350.94,350.94,350.94,350.94,350.94,350.94,350.82,340,350.94,350.99,350.82,351.0,350.99,260,600,351.14,0.23344536385590595,350.99,350.82
