Pressure,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,L,V,D,B,F,Ethanol concentration,time_hours,hour_of_day,T1_lag1,T1_lag5,T1_lag10,T1_lag30,T1_lag60,T1_lag240,T2_lag1,T2_lag5,T2_lag10,T2_lag30,T2_lag60,T2_lag240,T3_lag1,T3_lag5,T3_lag10,T3_lag30,T3_lag60,T3_lag240,T4_lag1,T4_lag5,T4_lag10,T4_lag30,T4_lag60,T4_lag240,T5_lag1,T5_lag5,T5_lag10,T5_lag30,T5_lag60,T5_lag240,T1_rolling_mean_5,T2_rolling_mean_5,T3_rolling_mean_5,T4_rolling_mean_5,T5_rolling_mean_5,hour_of_day_sin,hour_of_day_cos
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,24.0,0.0,350.82,350.82,350.82,350.82,350.82,350.89,350.86,350.86,350.86,350.86,350.86,350.95,350.89,350.89,350.89,350.89,350.89,351.01,350.94,350.94,350.94,350.94,350.94,351.08,350.99,350.99,350.99,350.99,350.99,351.16,350.82,350.86,350.89,350.94,350.99,0.0,1.0
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,24.1,0.10000000000000142,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.91,350.89,350.89,350.89,350.89,350.89,350.96,350.94,350.94,350.94,350.94,350.94,351.02,350.99,350.99,350.99,350.99,350.99,351.09,350.82,350.86,350.89,350.94,350.99,0.02617694830787352,0.9996573249755573
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,24.200000000000003,0.20000000000000284,350.82,350.82,350.82,350.82,350.82,350.85,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.93,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,351.05,350.82,350.86,350.89,350.94,350.99,0.05233595624294457,0.9986295347545738
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,24.3,0.3000000000000007,350.82,350.82,350.82,350.82,350.82,350.84,350.86,350.86,350.86,350.86,350.86,350.88,350.89,350.89,350.89,350.89,350.89,350.92,350.94,350.94,350.94,350.94,350.94,350.97,350.99,350.99,350.99,350.99,350.99,351.03,350.82,350.86,350.89,350.94,350.99,0.07845909572784512,0.996917333733128
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,24.400000000000002,0.40000000000000213,350.82,350.82,350.82,350.82,350.82,350.83,350.86,350.86,350.86,350.86,350.86,350.87,350.89,350.89,350.89,350.89,350.89,350.91,350.94,350.94,350.94,350.94,350.94,350.96,350.99,350.99,350.99,350.99,350.99,351.02,350.82,350.86,350.89,350.94,350.99,0.10452846326765401,0.9945218953682733
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,24.5,0.5,350.82,350.82,350.82,350.82,350.82,350.83,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.91,350.94,350.94,350.94,350.94,350.94,350.95,350.99,350.99,350.99,350.99,350.99,351.01,350.82,350.86,350.89,350.94,350.99,0.13052619222005157,0.9914448613738104
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,24.6,0.6000000000000014,350.82,350.82,350.82,350.82,350.82,350.83,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.9,350.94,350.94,350.94,350.94,350.94,350.95,350.99,350.99,350.99,350.99,350.99,351.01,350.82,350.86,350.89,350.94,350.99,0.15643446504023123,0.9876883405951377
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,24.700000000000003,0.7000000000000028,350.82,350.82,350.82,350.82,350.82,350.83,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.9,350.94,350.94,350.94,350.94,350.94,350.95,350.99,350.99,350.99,350.99,350.99,351.0,350.82,350.86,350.89,350.94,350.99,0.18223552549214816,0.9832549075639545
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,24.8,0.8000000000000007,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.9,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,351.0,350.82,350.86,350.89,350.94,350.99,0.2079116908177595,0.9781476007338056
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,24.900000000000002,0.9000000000000021,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.9,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,351.0,350.82,350.86,350.89,350.94,350.99,0.23344536385590595,0.9723699203976764
